,trainloss,trainacc,valloss,valacc,trainrecallscore,trainf1score,valrecallscore,valf1score
0,1.9985471738815308,0.4942,1.800606026172638,0.678,0.47859076660787775,0.389613037529802,0.6601721825396827,0.6084701942284294
1,1.7149793027877807,0.764,1.6345450258255005,0.831,0.7454367337929546,0.6950138662249346,0.8113375220458559,0.7668527234388892
2,1.6477610971450805,0.8179,1.6200401935577393,0.84275,0.8001756072898288,0.7531309947946804,0.8274705952380956,0.7807992922582883
3,1.6258120608011881,0.8371666666666666,1.6033349604606628,0.857625,0.8182913000908575,0.7732808102264422,0.8422514021164028,0.7992232904523284
4,1.6157102069854736,0.8466,1.5990580639839171,0.861875,0.8306674217839778,0.7848979649015785,0.8439680687830693,0.8036409772494446
5,1.6089054692586262,0.8523333333333334,1.5932770953178406,0.867,0.8372995757575762,0.791120116537761,0.8494654056437394,0.8065496749683218
6,1.6045139159520467,0.8566833333333334,1.5849403614997863,0.875375,0.8401481710182817,0.7943669959095554,0.8598089947089952,0.8161006422408377
7,1.59862664159139,0.8629666666666667,1.5470120177268982,0.9185,0.8472368023088028,0.8034478602012847,0.9030667989417985,0.8917042168615696
8,1.530251380221049,0.9336166666666667,1.5034693713188172,0.958375,0.926124295334296,0.9145327462082594,0.9544602645502643,0.9483842835513676
9,1.522103558921814,0.9399666666666666,1.5026635084152222,0.957875,0.9323534730208078,0.9217655395569675,0.9527136772486773,0.9458472204774168
10,1.5194026421229045,0.9422166666666667,1.504200918197632,0.957125,0.9354303892897258,0.9245716896593957,0.9515062169312167,0.9440958768877032
11,1.5170860339482626,0.9445,1.5014857568740845,0.9595,0.940332449735454,0.9304720936455854,0.9538919929453257,0.9475930177701745
12,1.5152671300252278,0.9463833333333334,1.508726728439331,0.953,0.9401776951373151,0.9302010638170284,0.949578959435626,0.9415750084786982
13,1.5135753814697266,0.9477333333333333,1.5078058619499206,0.953375,0.9434231922398617,0.9334096296005588,0.9478084760301428,0.9396302838546233
14,1.5132134336471557,0.94795,1.504336721420288,0.956375,0.9425470413126009,0.9329765445455326,0.9530071620971619,0.9456480511355017
15,1.5114247674306234,0.9499666666666666,1.494549563407898,0.966625,0.94497649617872,0.9357259097586036,0.9628314814814809,0.95772033645367
16,1.5135263109842936,0.94755,1.5005785546302794,0.96,0.9411180290203658,0.9320605596119541,0.953953456790123,0.94733933061721
17,1.5104204123814902,0.9508833333333333,1.5080733199119567,0.952875,0.9443291646625,0.9356236322571296,0.9474883597883595,0.9402520514657149
18,1.51161592241923,0.94945,1.497041489124298,0.964,0.9446891783442921,0.9352620241824088,0.9560768783068784,0.9511422655122653
19,1.5107911692301432,0.9502666666666667,1.4959303760528564,0.965125,0.9444540094062348,0.9351900089168561,0.9607034920634918,0.9556361516673898
